Whitepaper ID,TLA+ ID,Confidence,Mapping Type,TLAPS Status,TLC Status,Stateright Status,File Location,Line Range
theorem_1,Resilience_MainResilienceTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,396-401
theorem_1,Resilience_StakeMonotonicity,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,1070-1075
theorem_1,Resilience_StakeAdditivity,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,1065-1070
theorem_1,Resilience_SplitVotingAttackLemma,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,138-143
theorem_1,NetworkIntegration_NetworkLivenessIntegration,0.7,keyword_based,complete,unknown,unknown,NetworkIntegration.tla,404-409
theorem_1,NetworkIntegration_NetworkIntegrationMain,0.7,keyword_based,complete,unknown,unknown,NetworkIntegration.tla,435-440
theorem_1,Resilience_Combined2020ResilienceTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,85-90
theorem_1,Resilience_MaxByzantineTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,165-170
theorem_1,Resilience_ByzantineThresholdViolation,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,179-184
theorem_1,Resilience_MaxOfflineTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,238-243
theorem_1,Resilience_OfflineThresholdViolation,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,272-277
theorem_1,Resilience_PartitionRecoveryTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,313-318
theorem_1,Resilience_EconomicResilienceTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,343-348
theorem_1,Resilience_SplitVotingResistance,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,420-425
theorem_1,Resilience_ByzantineBoundaryTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,508-513
theorem_1,Resilience_OfflineBoundaryTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,525-530
theorem_1,Resilience_SlashingIncentivesTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,548-553
theorem_1,Resilience_EconomicSecurityTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,570-575
theorem_1,Resilience_RotorNonEquivocationTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,596-601
theorem_1,Resilience_HonestBlockPropagationTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,627-632
theorem_1,Resilience_VRFUniquenessTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,656-661
theorem_1,Resilience_VRFUnpredictabilityTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,687-692
theorem_1,Resilience_CombinedFaultModelTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,721-726
theorem_1,Resilience_RealisticFaultScenariosTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,803-808
theorem_1,Resilience_ProgressUnderWorstCase,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,861-866
theorem_1,Resilience_DegradationTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,894-899
theorem_1,Resilience_SelfHealingTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,917-922
theorem_1,Resilience_SafetyFromQuorum,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,127-132
theorem_1,Resilience_SafetyViolationConstruction,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,196-201
theorem_1,Resilience_HonestSingleVoteTheorem,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,222-227
theorem_1,Resilience_ResponsiveStakeCalculation,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,939-944
theorem_1,Resilience_ByzantineAttackConstruction,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,960-965
theorem_1,Resilience_ByzantineValidatorCapability,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,987-992
theorem_1,Resilience_InsufficientStakeLemma,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,1003-1008
theorem_1,Resilience_CertificateCompositionLemma,0.7,keyword_based,complete,unknown,unknown,Resilience.tla,1015-1020
